Serial No. (Labelled on tag),EPC ID,Linked Truck Licence Number
303,E28038212000602702ED2716,NGL9762
304,E28038212000602702ED25BA,NHE6016
305,E28038212000602702ED2417,NAT3057
306,E28038212000602607C0D71D,NFJ4435
307,E28038212000602702ED26C2,NEM2128
308,E28038212000602702ED2416,NIK4170
309,E28038212000602702ED2346,CCO1707
310,E28038212000602702ED22F0,CDK1011
311,E28038212000602702ED24AA,NDZ5796
312,E28038212000602607C0CC75,NDO9744
313,E28038212000602702ED2609,APA5001
314,E28038212000602702ED2597,NAV1035
315,E28038212000602702ED25F1,NAP6191
316,E28038212000602702ED26DD,CBQ3437
317,E28038212000602702ED24C3,ABI9899
318,E28038212000602702ED23A2,NBG6682
319,E28038212000602607C0B389,CCB8242
320,E28038212000602607C12176,NGL4925
321,E28038212000602702ED25E2,NEM2627
322,E28038212000602607C0B391,NGS2340
323,E28038212000602702ED23BF,CXK641
324,E28038212000602702ED237E,NDR8997
325,E28038212000602702ED2090,NAN4907
326,E28038212000602702ED24AF,NFD8416
327,E28038212000602702ED229E,NEW7798
328,E28038212000602702ED234C,NCK1342
329,E28038212000602607C0860D,NIN6521
330,E28038212000602702ED2489,NAV7546
331,E28038212000602607C1086A,NCK9447
332,E28038212000602607C0D8CA,NBQ7679
333,E28038212000602702ED236E,NDR8996
334,E28038212000602702F2D0CE,NIB3933
335,E28038212000602607C0F08E,NIA1016
336,E28038212000602702ED22CC,NGP4397
337,E28038212000602607C05987,AAP9942
338,E28038212000602702ED2709,CAK1823
339,E28038212000602607C1217F,NBK4020
340,E28038212000602702ED2567,NAP6710
341,E28038212000602702ED23B2,NBK4017
342,E28038212000602607C08F1A,NFL1187
343,E28038212000602702ED23C7,NBK4018
344,E28038212000602702ED2430,CBP4031
345,E28038212000602702ED2333,NEM9140
346,E28038212000602702ED24A8,NEV8573
347,E28038212000602607C0BFD7,NAP6434
348,E28038212000602702ED2713,CAN5498
349,E28038212000602702ED231A,NFK5160
350,E28038212000602702F3560C,NGG8303
351,E28038212000602702F2E8A4,NHD3270
352,E28038212000602702ED246B,NAP6437
353,E28038212000602702ED265B,CCM9843
354,E28038212000602607C0F088,CBJ6897
355,E28038212000602607C0FC50,NEJ2331
356,E28038212000602702ED2572,NBQ5729
357,E28038212000602702ED23EE,ABK1044
358,E28038212000602702ED24B8,ABJ1426
359,E28038212000602702ED2379,NAG4679
360,E28038212000602702ED2735,
361,E28038212000602702ED2465,NGG3625
362,E28038212000602702F2DC55,NAB9347
363,E28038212000602607C12146,NDK5167
364,E28038212000602702ED2657,NBF8924
365,E28038212000602702F355FF,NBS6905
366,E28038212000602702ED26E3,NDM3215
367,E28038212000602607C0BFD4,NDK5166
368,E28038212000602607C0F045,NGB1289
369,E28038212000602702ED22EF,NEW7795
370,E28038212000602702ED22F7,NIJ8690
371,E28038212000602702ED2529,NDJ2366
372,E28038212000602702ED25E3,NEP4234
373,E28038212000602702ED23D9,NBT4941
374,E28038212000602702ED2720,NFD6385
375,E28038212000602702ED262F,ABS6772
376,E28038212000602702ED272D,NAP6185
377,E28038212000602702ED2384,CBQ6081
378,E28038212000602607C12D32,NDD6454
379,E28038212000602607C0F02B,NFU3939
380,E28038212000602702ED2476,NFY2382
381,E28038212000602702ED2759,NDH8847
382,E28038212000602702ED2A4D,NBK4016
383,E28038212000602702ED26EA,NAX8702
384,E28038212000602702ED26EF,PTO364
385,E28038212000602702ED22DF,PNQ446
386,E28038212000602702ED268B,NAM1194
387,E28038212000602702ED26FF,NBF5961
388,E28038212000602702F2E8F0,ABO8727
389,E28038212000602607C0B3C8,NAP6183
